Kickoff	Goals Team1	Goals Team2	Pitch	Team1	Team2
2024-06-11 18:30	3	3	JP4.1	IRELAND	GERMANY
2024-06-11 18:30	1	0	JP4.2	SPAIN	ARGENTINA
2024-06-11 18:30	3	1	JP2.4	HOLLAND	PORTUGAL
2024-06-11 18:45	1	2	JP4.1	BRAZIL	ENGLAND
2024-06-11 18:45	0	1	JP4.2	FRANCE	ITALY
2024-06-11 18:45	1	0	JP2.4	IRELAND	SPAIN
2024-06-11 19:00	1	2	JP4.1	HOLLAND	GERMANY
2024-06-11 19:00	0	2	JP4.2	BRAZIL	ARGENTINA
2024-06-11 19:00	0	1	JP2.4	FRANCE	PORTUGAL
2024-06-11 19:15	3	1	JP4.1	ITALY	ENGLAND
2024-06-11 19:15	2	4	JP4.2	IRELAND	HOLLAND
2024-06-11 19:15	0	1	JP2.4	BRAZIL	SPAIN
2024-06-11 19:30	0	3	JP4.1	FRANCE	GERMANY
2024-06-11 19:30	1	2	JP4.2	ITALY	ARGENTINA
2024-06-11 19:30	0	0	JP2.4	ENGLAND	PORTUGAL
2024-06-11 19:45	3	1	JP4.1	IRELAND	BRAZIL
2024-06-11 19:45	1	1	JP4.2	FRANCE	HOLLAND
2024-06-11 19:45	1	0	JP2.4	ITALY	SPAIN
2024-06-11 20:00	1	0	JP4.1	ENGLAND	GERMANY
2024-06-11 20:00	1	1	JP4.2	PORTUGAL	ARGENTINA
2024-06-11 20:00	4	5	JP2.4	IRELAND	FRANCE
2024-06-11 20:15	2	0	JP4.1	ITALY	BRAZIL
2024-06-11 20:15	0	1	JP4.2	ENGLAND	HOLLAND
2024-06-11 20:15	2	0	JP2.4	PORTUGAL	SPAIN
2024-06-13 18:30	3	2	JP4.1	ARGENTINA	GERMANY
2024-06-13 18:30	0	2	JP4.2	IRELAND	ITALY
2024-06-13 18:30	0	0	JP2.4	ENGLAND	FRANCE
2024-06-13 18:45	1	1	JP4.1	PORTUGAL	BRAZIL
2024-06-13 18:45	2	0	JP4.2	ARGENTINA	HOLLAND
2024-06-13 18:45	2	0	JP2.4	GERMANY	SPAIN
2024-06-13 19:00	2	0	JP4.1	IRELAND	ENGLAND
2024-06-13 19:00	0	0	JP4.2	PORTUGAL	ITALY
2024-06-13 19:00	1	0	JP2.4	ARGENTINA	FRANCE
2024-06-13 19:15	1	0	JP4.1	GERMANY	BRAZIL
2024-06-13 19:15	3	0	JP4.2	SPAIN	HOLLAND
2024-06-13 19:15	0	2	JP2.4	IRELAND	PORTUGAL
2024-06-13 19:30	4	2	JP4.1	ARGENTINA	ENGLAND
2024-06-13 19:30	1	1	JP4.2	GERMANY	ITALY
2024-06-13 19:30	1	2	JP2.4	SPAIN	FRANCE
2024-06-13 19:45	0	3	JP4.1	HOLLAND	BRAZIL
2024-06-13 19:45	2	2	JP4.2	IRELAND	ARGENTINA
2024-06-13 19:45	1	1	JP2.4	GERMANY	PORTUGAL
2024-06-13 20:00	2	0	JP4.1	SPAIN	ENGLAND
2024-06-13 20:00	3	5	JP4.2	HOLLAND	ITALY
2024-06-13 20:00	2	0	JP2.4	BRAZIL	FRANCE
