Time	Goals Team1	Goals Team2	Pitch	Team1	Team2
2024-06-11 18:30	0	0	JP1.4	IRELAND u7	GERMANY u7
2024-06-11 18:45	0	2	JP1.4	SPAIN u7	HOLLAND u7
2024-06-11 19:00	0	3	JP1.4	ARGENTINA u7	BRAZIL u7
2024-06-11 19:15	2	0	JP1.4	IRELAND u7	SPAIN u7
2024-06-11 19:30	0	3	JP1.4	ARGENTINA u7	GERMANY u7
2024-06-11 19:45	1	3	JP1.4	BRAZIL u7	HOLLAND u7
2024-06-11 20:00	3	2	JP1.4	IRELAND u7	ARGENTINA u7
2024-06-11 20:15	0	1	JP1.4	BRAZIL u7	SPAIN u7
2024-06-13 18:30	1	0	JP1.4	HOLLAND u7	GERMANY u7
2024-06-13 18:45	2	1	JP1.4	IRELAND u7	BRAZIL u7
2024-06-13 19:00	1	0	JP1.4	HOLLAND u7	ARGENTINA u7
2024-06-13 19:15	1	0	JP1.4	GERMANY u7	SPAIN u7
2024-06-13 19:30	1	1	JP1.4	IRELAND u7	HOLLAND u7
2024-06-13 19:45	2	0	JP1.4	GERMANY u7	BRAZIL u7
2024-06-13 20:00	0	1	JP1.4	SPAIN u7	ARGENTINA u7
