age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U10 Mixed,1,Tue 6:30-6:45,JP1,Pitch 1,JP1.1,BRAZIL,HOLLAND
U10 Mixed,1,Tue 6:30-6:45,JP1,Pitch 2,JP1.2,PORTUGAL,GERMANY
U11 Mixed,1,Tue 6:30-6:45,JP1,Pitch 3,JP1.3,SPAIN,ENGLAND
U11 Mixed,1,Tue 6:30-6:45,JP1,Pitch 4,JP1.4,PORTUGAL,BRAZIL
U12 Mixed,1,Tue 6:30-6:45,JP2,Pitch 5,JP2.1,GERMANY,SPAIN
U12 Mixed,1,Tue 6:30-6:45,JP2,Pitch 6,JP2.2,PORTUGAL,BRAZIL
U13 Mixed,1,Tue 6:30-6:45,JP2,Pitch 7,JP2.3,GERMANY,SPAIN
U13 Mixed,1,Tue 6:30-6:45,JP2,Pitch 8,JP2.4,ARGENTINA,BRAZIL
U8 Boys,1,Tue 6:30-6:45,JP3,Pitch 9,JP3.1,HOLLAND,PORTUGAL
U8 Boys,1,Tue 6:30-6:45,JP3,Pitch 10,JP3.2,SPAIN,ARGENTINA
U6/U7 Boys,1,Tue 6:30-6:45,JP3,Pitch 11,JP3.3,IRELAND,GERMANY
U9 Mixed,1,Tue 6:30-6:45,JP4,Pitch 12,JP4.1,HOLLAND,PORTUGAL
U9 Mixed,1,Tue 6:30-6:45,JP4,Pitch 13,JP4.2,GERMANY,BRAZIL
U7/U8 Girls,1,Tue 6:30-6:45,JP4,Pitch 14,JP4.3,IRELAND,GERMANY
U10 Mixed,2,Tue 6:45-7:00,JP1,Pitch 1,JP1.1,IRELAND,ARGENTINA
U10 Mixed,2,Tue 6:45-7:00,JP1,Pitch 2,JP1.2,SPAIN,ENGLAND
U11 Mixed,2,Tue 6:45-7:00,JP1,Pitch 3,JP1.3,IRELAND,HOLLAND
U11 Mixed,2,Tue 6:45-7:00,JP1,Pitch 4,JP1.4,ARGENTINA,GERMANY
U12 Mixed,2,Tue 6:45-7:00,JP2,Pitch 5,JP2.1,IRELAND,ARGENTINA
U12 Mixed,2,Tue 6:45-7:00,JP2,Pitch 6,JP2.2,HOLLAND,ENGLAND
U13 Mixed,2,Tue 6:45-7:00,JP2,Pitch 7,JP2.3,IRELAND,ENGLAND
U13 Mixed,2,Tue 6:45-7:00,JP2,Pitch 8,JP2.4,HOLLAND,PORTUGAL
U8 Boys,2,Tue 6:45-7:00,JP3,Pitch 9,JP3.1,IRELAND,GERMANY
U8 Boys,2,Tue 6:45-7:00,JP3,Pitch 10,JP3.2,BRAZIL,ENGLAND
U6/U7 Boys,2,Tue 6:45-7:00,JP3,Pitch 11,JP3.3,SPAIN,ARGENTINA
U9 Mixed,2,Tue 6:45-7:00,JP4,Pitch 12,JP4.1,ENGLAND,ARGENTINA
U9 Mixed,2,Tue 6:45-7:00,JP4,Pitch 13,JP4.2,IRELAND,SPAIN
U7/U8 Girls,2,Tue 6:45-7:00,JP4,Pitch 14,JP4.3,SPAIN,ARGENTINA
U10 Mixed,3,Tue 7:00-7:15,JP1,Pitch 1,JP1.1,GERMANY,BRAZIL
U10 Mixed,3,Tue 7:00-7:15,JP1,Pitch 2,JP1.2,HOLLAND,PORTUGAL
U11 Mixed,3,Tue 7:00-7:15,JP1,Pitch 3,JP1.3,BRAZIL,SPAIN
U11 Mixed,3,Tue 7:00-7:15,JP1,Pitch 4,JP1.4,ENGLAND,PORTUGAL
U12 Mixed,3,Tue 7:00-7:15,JP2,Pitch 5,JP2.1,BRAZIL,SPAIN
U12 Mixed,3,Tue 7:00-7:15,JP2,Pitch 6,JP2.2,PORTUGAL,GERMANY
U13 Mixed,3,Tue 7:00-7:15,JP2,Pitch 7,JP2.3,GERMANY,BRAZIL
U13 Mixed,3,Tue 7:00-7:15,JP2,Pitch 8,JP2.4,SPAIN,ARGENTINA
U8 Boys,3,Tue 7:00-7:15,JP3,Pitch 9,JP3.1,SPAIN,PORTUGAL
U8 Boys,3,Tue 7:00-7:15,JP3,Pitch 10,JP3.2,ARGENTINA,HOLLAND
U6/U7 Boys,3,Tue 7:00-7:15,JP3,Pitch 11,JP3.3,HOLLAND,PORTUGAL
U9 Mixed,3,Tue 7:00-7:15,JP4,Pitch 12,JP4.1,GERMANY,HOLLAND
U9 Mixed,3,Tue 7:00-7:15,JP4,Pitch 13,JP4.2,PORTUGAL,BRAZIL
U7/U8 Girls,3,Tue 7:00-7:15,JP4,Pitch 14,JP4.3,HOLLAND,PORTUGAL
U10 Mixed,4,Tue 7:15-7:30,JP1,Pitch 1,JP1.1,ENGLAND,ARGENTINA
U10 Mixed,4,Tue 7:15-7:30,JP1,Pitch 2,JP1.2,IRELAND,SPAIN
U11 Mixed,4,Tue 7:15-7:30,JP1,Pitch 3,JP1.3,ARGENTINA,HOLLAND
U11 Mixed,4,Tue 7:15-7:30,JP1,Pitch 4,JP1.4,IRELAND,GERMANY
U12 Mixed,4,Tue 7:15-7:30,JP2,Pitch 5,JP2.1,IRELAND,HOLLAND
U12 Mixed,4,Tue 7:15-7:30,JP2,Pitch 6,JP2.2,ENGLAND,ARGENTINA
U13 Mixed,4,Tue 7:15-7:30,JP2,Pitch 7,JP2.3,HOLLAND,ENGLAND
U13 Mixed,4,Tue 7:15-7:30,JP2,Pitch 8,JP2.4,IRELAND,PORTUGAL
U8 Boys,4,Tue 7:15-7:30,JP3,Pitch 9,JP3.1,IRELAND,ENGLAND
U8 Boys,4,Tue 7:15-7:30,JP3,Pitch 10,JP3.2,GERMANY,BRAZIL
U6/U7 Boys,4,Tue 7:15-7:30,JP3,Pitch 11,JP3.3,IRELAND,SPAIN
U9 Mixed,4,Tue 7:15-7:30,JP4,Pitch 12,JP4.1,SPAIN,ENGLAND
U9 Mixed,4,Tue 7:15-7:30,JP4,Pitch 13,JP4.2,IRELAND,ARGENTINA
U7/U8 Girls,4,Tue 7:15-7:30,JP4,Pitch 14,JP4.3,IRELAND,SPAIN
U10 Mixed,5,Tue 7:30-7:45,JP1,Pitch 1,JP1.1,GERMANY,HOLLAND
U10 Mixed,5,Tue 7:30-7:45,JP1,Pitch 2,JP1.2,PORTUGAL,BRAZIL
U11 Mixed,5,Tue 7:30-7:45,JP1,Pitch 3,JP1.3,BRAZIL,ENGLAND
U11 Mixed,5,Tue 7:30-7:45,JP1,Pitch 4,JP1.4,SPAIN,PORTUGAL
U12 Mixed,5,Tue 7:30-7:45,JP2,Pitch 5,JP2.1,SPAIN,PORTUGAL
U12 Mixed,5,Tue 7:30-7:45,JP2,Pitch 6,JP2.2,GERMANY,BRAZIL
U13 Mixed,5,Tue 7:30-7:45,JP2,Pitch 7,JP2.3,BRAZIL,SPAIN
U13 Mixed,5,Tue 7:30-7:45,JP2,Pitch 8,JP2.4,ARGENTINA,GERMANY
U8 Boys,5,Tue 7:30-7:45,JP3,Pitch 9,JP3.1,HOLLAND,SPAIN
U8 Boys,5,Tue 7:30-7:45,JP3,Pitch 10,JP3.2,PORTUGAL,ARGENTINA
U6/U7 Boys,5,Tue 7:30-7:45,JP3,Pitch 11,JP3.3,ARGENTINA,PORTUGAL
U9 Mixed,5,Tue 7:30-7:45,JP4,Pitch 12,JP4.1,PORTUGAL,GERMANY
U9 Mixed,5,Tue 7:30-7:45,JP4,Pitch 13,JP4.2,BRAZIL,HOLLAND
U7/U8 Girls,5,Tue 7:30-7:45,JP4,Pitch 14,JP4.3,ARGENTINA,PORTUGAL
U10 Mixed,6,Tue 7:45-8:00,JP1,Pitch 1,JP1.1,IRELAND,ENGLAND
U10 Mixed,6,Tue 7:45-8:00,JP1,Pitch 2,JP1.2,SPAIN,ARGENTINA
U11 Mixed,6,Tue 7:45-8:00,JP1,Pitch 3,JP1.3,IRELAND,ARGENTINA
U11 Mixed,6,Tue 7:45-8:00,JP1,Pitch 4,JP1.4,GERMANY,HOLLAND
U12 Mixed,6,Tue 7:45-8:00,JP2,Pitch 5,JP2.1,IRELAND,ENGLAND
U12 Mixed,6,Tue 7:45-8:00,JP2,Pitch 6,JP2.2,ARGENTINA,HOLLAND
U13 Mixed,6,Tue 7:45-8:00,JP2,Pitch 7,JP2.3,ENGLAND,PORTUGAL
U13 Mixed,6,Tue 7:45-8:00,JP2,Pitch 8,JP2.4,IRELAND,HOLLAND
U8 Boys,6,Tue 7:45-8:00,JP3,Pitch 9,JP3.1,ENGLAND,GERMANY
U8 Boys,6,Tue 7:45-8:00,JP3,Pitch 10,JP3.2,IRELAND,BRAZIL
U6/U7 Boys,6,Tue 7:45-8:00,JP3,Pitch 11,JP3.3,GERMANY,HOLLAND
U9 Mixed,6,Tue 7:45-8:00,JP4,Pitch 12,JP4.1,IRELAND,ENGLAND
U9 Mixed,6,Tue 7:45-8:00,JP4,Pitch 13,JP4.2,SPAIN,ARGENTINA
U7/U8 Girls,6,Tue 7:45-8:00,JP4,Pitch 14,JP4.3,GERMANY,HOLLAND
