age_group,slot,time_label,zone,pitch_name,pitch_id,team1,team2
U6,1,Tue 18:30,JP1,Pitch 1,JP1.1,IRELAND,GERMANY
U7,1,Tue 18:30,JP1,Pitch 2,JP1.2,IRELAND,GERMANY
U8,1,Tue 18:30,JP1,Pitch 3,JP1.3,IRELAND,GERMANY
U9,1,Tue 18:30,JP1,Pitch 4,JP1.4,IRELAND,GERMANY
U10,1,Tue 18:30,JP2,Pitch 5,JP2.1,IRELAND,GERMANY
U11,1,Tue 18:30,JP2,Pitch 6,JP2.2,IRELAND,GERMANY
U12,1,Tue 18:30,JP2,Pitch 7,JP2.3,IRELAND,GERMANY
U13,1,Tue 18:30,JP2,Pitch 8,JP2.4,IRELAND,GERMANY
U14,1,Tue 18:30,JP3,Pitch 9,JP3.1,IRELAND,GERMANY
U15,1,Tue 18:30,JP3,Pitch 10,JP3.2,IRELAND,GERMANY
U16,1,Tue 18:30,JP3,Pitch 11,JP3.3,IRELAND,GERMANY
U17,1,Tue 18:30,JP4,Pitch 12,JP4.1,SPAIN,ARGENTINA
U17,1,Tue 18:30,JP4,Pitch 13,JP4.2,GERMANY,PORTUGAL
U17,1,Tue 18:30,JP4,Pitch 14,JP4.3,IRELAND,BRAZIL
U6,2,Tue 18:45,JP1,Pitch 1,JP1.1,SPAIN,HOLLAND
U7,2,Tue 18:45,JP1,Pitch 2,JP1.2,SPAIN,HOLLAND
U8,2,Tue 18:45,JP1,Pitch 3,JP1.3,SPAIN,HOLLAND
U9,2,Tue 18:45,JP1,Pitch 4,JP1.4,SPAIN,HOLLAND
U10,2,Tue 18:45,JP2,Pitch 5,JP2.1,SPAIN,HOLLAND
U11,2,Tue 18:45,JP2,Pitch 6,JP2.2,SPAIN,HOLLAND
U12,2,Tue 18:45,JP2,Pitch 7,JP2.3,SPAIN,HOLLAND
U13,2,Tue 18:45,JP2,Pitch 8,JP2.4,SPAIN,HOLLAND
U14,2,Tue 18:45,JP3,Pitch 9,JP3.1,SPAIN,HOLLAND
U15,2,Tue 18:45,JP3,Pitch 10,JP3.2,SPAIN,HOLLAND
U16,2,Tue 18:45,JP3,Pitch 11,JP3.3,SPAIN,HOLLAND
U17,2,Tue 18:45,JP4,Pitch 12,JP4.1,HOLLAND,ITALY
U17,2,Tue 18:45,JP4,Pitch 13,JP4.2,FRANCE,ENGLAND
U17,2,Tue 18:45,JP4,Pitch 14,JP4.3,GERMANY,BRAZIL
U6,3,Tue 19:00,JP1,Pitch 1,JP1.1,BRAZIL,ARGENTINA
U7,3,Tue 19:00,JP1,Pitch 2,JP1.2,BRAZIL,ARGENTINA
U8,3,Tue 19:00,JP1,Pitch 3,JP1.3,BRAZIL,ARGENTINA
U9,3,Tue 19:00,JP1,Pitch 4,JP1.4,BRAZIL,ARGENTINA
U10,3,Tue 19:00,JP2,Pitch 5,JP2.1,BRAZIL,ARGENTINA
U11,3,Tue 19:00,JP2,Pitch 6,JP2.2,BRAZIL,ARGENTINA
U12,3,Tue 19:00,JP2,Pitch 7,JP2.3,BRAZIL,ARGENTINA
U13,3,Tue 19:00,JP2,Pitch 8,JP2.4,BRAZIL,ARGENTINA
U14,3,Tue 19:00,JP3,Pitch 9,JP3.1,BRAZIL,ARGENTINA
